"BehaviorSpace results (NetLogo 6.0.4)"
"attitude_change.nlogo"
"delta_p2"
"08/21/2018 15:54:30:733 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","200","-38","38"
"[run number]","initial_groupspread","independent_distribution","latitude_acceptance","color_axis_max","sharpness_acceptance","alpha","p","eta","polarity","focus_one","b","M","p_as","motivated_cognition","N","rolling","skip_ticks_draw","iterations_per_tick","visualization","intergroup_credibility","[step]","cum_fragmentation","cum_sd","cum_biasmean"
"33","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.15","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.794909556386809","0.7425851883955663","3.2785506785982035"
"34","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.2","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.824714975991532","0.7541509336764732","3.271927523655066"
"35","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.25","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.7751753642526764","0.7433507936677243","3.2725747139819883"
"36","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.3","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.7730573500272175","0.749555022113055","3.2664741349785733"
"37","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.35","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.756734256969848","0.7472992824644797","3.2643553503615013"
"38","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.4","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.7377134469026476","0.7501882293708629","3.2576289577366855"
"39","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.45","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.7101766793537094","0.7517972605860208","3.2511779224548434"
"40","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.5","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.703894794607457","0.7563681476137959","3.2488103424371633"
"41","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.55","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.681949534111996","0.7636801266438497","3.233110504769102"
"42","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.6","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.65780690440769","0.7702671865845485","3.224740349959635"
"43","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.65","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.563404696771976","0.7550757967777798","3.2223707929713705"
"44","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.7","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.475163874723791","0.7516650603996147","3.211662577574994"
"45","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.75","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.4212556327129735","0.7658226117656887","3.189555690566021"
"46","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.8","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.297678901327085","0.7756858811917784","3.157880766991645"
"47","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.85","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","2.0217033116377165","0.7742055906842267","3.1071582704700487"
"48","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.9","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4428103372303176","0.24368759660690537","0.14110736884724429"
"49","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.91","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4132675946254634","0.23674511756078107","0.07071267630663414"
"50","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.92","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.425695493831411","0.237350045499085","0.06191612478729555"
"51","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.93","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4301779775371128","0.23773485360483773","0.039853626772833294"
"52","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.94","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4174705254474698","0.23324756529264734","0.04156983609980939"
"53","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.95","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4041659063166374","0.22993015610714532","0.03792536918820918"
"54","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.96","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.430423067462731","0.23600299525890633","0.039798861027160785"
"55","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.97","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4412697532423602","0.23657088893065253","0.03264611140707175"
"56","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.98","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4208222702168867","0.23202820267328494","0.026273534995708298"
"57","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","0.99","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.417647213948587","0.23042925506560666","0.028103780812063883"
"58","0","normal (mean 0  sd 1)","1","0.15","2","0.1","0.01","1","false","true","2","3.5","probability for new random","no","500","true","10","20","Heatmap timeline","1","1","1.4085074112652187","0.22803092233728411","0.02755870549483632"
